Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Area_accident_occured,Lanes_or_Medians,Types_of_Junction,Road_surface_type,Light_conditions,Weather_conditions,Type_of_collision,Vehicle_movement,Pedestrian_movement,Cause_of_accident,Accident_severity,Number_of_vehicles_involved
31-50,male,unknown,owner,5-10yr,car,residential areas,double carriageway (median),other,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,3
31-50,male,illiterate,employee,2-5yr,car,industrial areas,unknown,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,other,not a pedestrian,other,Slight Injury,3
18-30,male,junior high school,employee,5-10yr,other,industrial areas,double carriageway (median),crossing,gravel roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,other,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,bus,hospital areas,two-way (divided with broken lines road marking),crossing,asphalt roads,daylight,raining,collision with roadside objects,overtaking,not a pedestrian,no priority to pedestrian,Slight Injury,2
31-50,male,elementary school,employee,2-5yr,car,church areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
under 18,male,elementary school,employee,5-10yr,bicycle,hospital areas,undivided two way,crossing,asphalt roads,daylight,normal,collision with roadside objects,other,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,5-10yr,car,office areas,other,no junction,asphalt roads,daylight,normal,collision with roadside objects,moving backward,not a pedestrian,overtaking,Slight Injury,1
31-50,male,junior high school,employee,above 10yr,bus,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,unknown,car,office areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Serious Injury,2
18-30,male,junior high school,employee,2-5yr,other,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,no priority to pedestrian,Slight Injury,2
18-30,male,elementary school,employee,5-10yr,lorry,office areas,double carriageway (median),y shape,asphalt roads,daylight,normal,rollover,getting off,crossing from driver's nearside,driving carelessly,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,church areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,elementary school,employee,2-5yr,lorry,industrial areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
18-30,male,high school,owner,above 10yr,bus,office areas,double carriageway (median),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,unknown,junior high school,employee,above 10yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,residential areas,undivided two way,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,changing lane to the left,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,car,office areas,double carriageway (median),crossing,asphalt roads,darkness - lights lit,normal,collision with roadside objects,moving backward,unknown or other,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,above 10yr,other,residential areas,two-way (divided with broken lines road marking),crossing,asphalt roads with some distress,daylight,normal,rollover,going straight,not a pedestrian,no priority to vehicle,Serious Injury,2
18-30,male,above high school,employee,5-10yr,lorry,church areas,double carriageway (median),no junction,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,not a pedestrian,moving backward,Serious Injury,2
18-30,male,elementary school,owner,below 1yr,lorry,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no priority to pedestrian,Serious Injury,2
18-30,male,junior high school,employee,above 10yr,car,residential areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,collision with pedestrians,going straight,not a pedestrian,no priority to vehicle,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,other,other,two-way (divided with broken lines road marking),no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,1
31-50,male,junior high school,owner,2-5yr,car,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,rollover,reversing,not a pedestrian,moving backward,Slight Injury,2
18-30,male,unknown,employee,unknown,mootorbike,other,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,bus,residential areas,unknown,crossing,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,overloading,Slight Injury,1
31-50,male,junior high school,employee,5-10yr,lorry,office areas,undivided two way,no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,reversing,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,elementary school,employee,5-10yr,other,office areas,other,no junction,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,other,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,residential areas,undivided two way,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,unknown or other,no priority to pedestrian,Slight Injury,2
31-50,male,junior high school,employee,2-5yr,lorry,residential areas,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,crossing from nearside - masked by parked or stationot a pedestrianry vehicle,overspeed,Slight Injury,2
18-30,male,junior high school,employee,1-2yr,bus,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,no priority to vehicle,Slight Injury,1
31-50,male,above high school,employee,1-2yr,bus,office areas,undivided two way,y shape,asphalt roads,daylight,raining,rollover,moving backward,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,junior high school,employee,above 10yr,other,office areas,other,no junction,asphalt roads,daylight,normal,rollover,moving backward,not a pedestrian,changing lane to the left,Serious Injury,2
18-30,male,junior high school,employee,2-5yr,lorry,residential areas,one way,y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,other,not a pedestrian,changing lane to the left,Slight Injury,3
over 51,male,high school,employee,above 10yr,lorry,church areas,undivided two way,y shape,asphalt roads,daylight,raining,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,3
18-30,male,elementary school,employee,5-10yr,lorry,recreational areas,other,y shape,asphalt roads,daylight,raining,collision with pedestrians,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
18-30,male,high school,employee,2-5yr,other,residential areas,other,crossing,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,above high school,employee,above 10yr,other,market areas,undivided two way,no junction,asphalt roads,daylight,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the left,Slight Injury,2
over 51,male,elementary school,employee,5-10yr,car,residential areas,other,y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,overtaking,Slight Injury,2
18-30,male,junior high school,employee,5-10yr,car,rural village areas,undivided two way,y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,high school,employee,2-5yr,other,office areas,double carriageway (median),y shape,asphalt roads,darkness - lights lit,normal,collision with roadside objects,going straight,not a pedestrian,changing lane to the right,Slight Injury,2
31-50,male,junior high school,employee,1-2yr,other,residential areas,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,1
31-50,male,junior high school,employee,1-2yr,lorry,office areas,undivided two way,other,asphalt roads,daylight,normal,vehicle with vehicle collision,moving backward,not a pedestrian,driving at high speed,Serious Injury,2
31-50,male,junior high school,employee,2-5yr,bus,office areas,two-way (divided with broken lines road marking),y shape,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,unknown,Slight Injury,2
18-30,male,junior high school,owner,5-10yr,car,other,undivided two way,no junction,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,no distancing,Slight Injury,2
18-30,male,junior high school,employee,2-5yr,car,other,undivided two way,other,asphalt roads,daylight,normal,vehicle with vehicle collision,going straight,not a pedestrian,driving carelessly,Slight Injury,2
31-50,male,elementary school,employee,5-10yr,car,other,double carriageway (median),other,asphalt roads,darkness - lights lit,normal,vehicle with vehicle collision,going straight,unknown or other,no priority to vehicle,Slight Injury,2
